epsilon,index,key,s,t,x,y,z
,6.0,349,,58,607.5,195.0,21.0
,7.0,350,,58,640.5,383.0,26.5
,8.0,351,,58,649.5,290.0,9.0
1.0307764064044151,9.0,323,,58,713.5,398.0,16.0
,10.0,352,,58,1138.0,20.5,22.0
,11.0,353,,58,1162.0,49.0,24.0
,12.0,354,,58,1207.0,44.0,24.0
,13.0,355,,58,1240.0,21.0,23.0
1.236931687685276,0.0,348,,59,524.5,397.0,16.0
1.9313207915828237,1.0,319,,59,534.5,183.5,23.0
2.0808652046685117,2.0,336,,59,577.5,377.5,10.0
,3.0,356,,59,593.5,228.0,23.5
3.7589892258424658,4.0,349,,59,606.0,194.0,19.5
2.8861739379323152,5.0,350,,59,639.5,384.5,26.5
1.4764823060233716,6.0,351,,59,652.0,289.5,10.5
,7.0,357,,59,730.0,385.0,20.0
,8.0,358,,59,1044.0,24.0,27.5
,9.0,359,,59,1102.5,64.0,26.0
,10.0,360,,59,1187.5,8.5,23.0
1.3333333333333712,0.0,348,,60,524.0,408.5,17.0
0.6666666666666288,1.0,319,,60,536.0,195.0,23.5
,2.0,361,,60,574.0,411.0,17.5
3.8873012632302326,3.0,356,,60,591.0,237.5,23.5
5.0442486501405135,4.0,349,,60,607.5,200.5,20.5
,5.0,362,,60,624.5,409.5,15.0
,6.0,363,,60,646.5,273.5,16.5
0.6666666666666288,7.0,351,,60,653.5,301.0,8.5
,8.0,364,,60,1054.5,61.0,26.0
,0.0,365,,61,525.5,435.5,14.0
2.758824226207804,1.0,319,,61,549.0,197.0,23.0
,2.0,366,,61,599.5,462.5,18.0
,3.0,367,,61,631.0,250.5,24.0
2.1666666666666856,4.0,362,,61,640.0,410.5,14.0
4.166666666666652,5.0,363,,61,664.5,280.0,16.5
,6.0,368,,61,1028.0,53.0,26.0
,7.0,369,,61,1077.5,24.0,23.0
,8.0,370,,61,1112.0,3.0,22.0
1.286953767623375,0.0,365,,62,546.5,439.5,16.5
4.599592373243524,1.0,319,,62,574.0,199.0,22.0
,2.0,371,,62,581.0,401.0,26.5
1.6677080080157918,3.0,366,,62,621.5,466.0,22.5
1.3806701271484076,4.0,367,,62,652.5,257.0,24.5
1.4252192813739224,5.0,362,,62,662.0,417.0,14.0
,6.0,372,,62,1002.0,40.5,27.5
,7.0,373,,62,1039.0,19.5,23.5
,0.0,374,,63,485.5,405.5,9.0
0.23570226039550243,1.0,365,,63,557.0,452.5,18.0
2.013840995599094,2.0,366,,63,631.0,477.0,22.0
,3.0,375,,63,657.5,208.0,22.0
,4.0,376,,63,658.0,228.0,22.5
1.7950549357115049,5.0,362,,63,673.0,431.5,16.5
,6.0,377,,63,705.0,313.0,27.0
,7.0,378,,63,975.5,37.5,25.5
2.1396553460779613,0.0,374,,64,489.0,413.5,10.0
,1.0,379,,64,511.0,115.5,27.5
4.177693741767101,2.0,365,,64,561.0,457.0,14.5
,3.0,380,,64,596.0,431.0,17.0
2.019436802675439,4.0,366,,64,630.5,484.0,20.0
14.75476617910294,5.0,375,,64,658.5,230.5,21.5
5.322417214010942,5.0,376,,64,658.5,230.5,21.5
0.2795084971874737,6.0,362,,64,674.5,439.5,16.0
0.45069390943299864,7.0,377,,64,706.0,321.0,26.0
,8.0,381,,64,737.5,285.0,25.5
,9.0,382,,64,751.0,391.5,27.0
,10.0,383,,64,794.0,263.5,26.0
,11.0,384,,64,960.0,3.0,17.5
,12.0,385,,64,987.5,2.5,15.0
,0.0,386,,65,403.5,210.0,13.5
,1.0,387,,65,496.0,420.5,11.0
,2.0,388,,65,604.0,439.5,18.0
,3.0,389,,65,689.0,342.5,9.5
,4.0,390,,65,763.0,400.5,26.5
,5.0,391,,65,904.0,21.0,25.0
,6.0,392,,65,936.0,3.0,19.5
,0.0,393,,66,590.0,450.5,16.5
,1.0,394,,66,593.5,475.0,17.0
1.0307764064044151,2.0,388,,66,630.5,439.0,21.0
,3.0,395,,66,665.5,468.5,21.0
,4.0,396,,66,705.0,426.0,15.5
1.0307764064044151,5.0,389,,66,716.0,344.0,13.0
,6.0,397,,66,809.5,302.0,15.5
,7.0,398,,66,841.0,308.0,16.0
,8.0,399,,66,895.5,2.5,21.0
,0.0,400,,67,485.5,297.5,15.0
5.068968775248522,1.0,388,,67,648.5,451.5,20.5
4.5856054973992375,2.0,395,,67,680.0,484.5,20.5
1.7400510848183888,3.0,396,,67,725.5,443.0,15.5
1.4240006242196241,4.0,389,,67,733.5,361.0,12.5
1.0540925533894718,5.0,398,,67,859.5,326.5,17.0
,6.0,401,,67,874.0,3.5,21.0
13.82931668593933,0.0,400,,68,484.0,303.5,15.5
,1.0,402,,68,522.0,306.5,15.5
,2.0,403,,68,638.0,303.0,23.5
1.5811388300841898,3.0,395,,68,691.5,492.0,22.0
7.516648189186454,4.0,396,,68,737.0,459.5,15.5
,5.0,404,,68,765.0,329.5,25.0
,6.0,405,,68,791.0,355.5,27.5
,7.0,406,,68,842.5,331.5,16.0
1.5811388300841898,8.0,398,,68,872.0,337.0,17.5
,0.0,407,,69,633.0,268.5,17.0
,1.0,408,,69,781.5,516.5,19.5
,2.0,409,,69,855.0,401.5,14.5
0.9013878188659973,3.0,406,,69,869.0,353.5,16.0
0.9013878188659973,4.0,398,,69,897.0,360.0,18.0
2.3323807579381435,0.0,407,,70,662.0,267.5,17.5
,1.0,410,,70,745.5,511.0,20.5
0.5385164807134672,2.0,408,,70,811.5,517.0,22.5
1.2000000000000455,3.0,409,,70,884.0,402.5,15.5
1.6999999999999786,4.0,406,,70,900.0,356.0,16.0
2.0591260281973605,5.0,398,,70,929.0,362.0,20.0
7.695597587076756,0.0,408,,71,826.0,522.0,19.5
,1.0,411,,71,838.0,307.5,27.0
,2.0,412,,71,843.0,345.0,27.5
,3.0,413,,71,848.0,450.5,14.5
1.4907119849998258,4.0,409,,71,898.5,416.5,15.0
1.6749792701867792,5.0,406,,71,913.5,368.5,14.0
2.608745973749797,6.0,398,,71,946.5,373.5,20.0
,0.0,414,,72,657.0,487.0,18.0
,1.0,415,,72,678.5,407.0,26.5
,2.0,416,,72,835.5,377.0,23.5
7.083784299369931,3.0,408,,72,843.5,533.5,23.0
0.8544003745317478,4.0,411,,72,860.5,313.5,26.5
7.397972695272625,5.0,413,,72,863.5,458.5,15.0
0.36055512754635477,6.0,412,,72,865.5,352.0,26.5
,7.0,417,,72,867.0,521.5,13.0
,8.0,418,,72,911.0,497.0,28.5
,9.0,419,,72,914.5,562.0,26.5
0.36055512754635477,10.0,409,,72,921.0,423.5,12.5
0.8246211251235541,11.0,406,,72,936.5,374.5,15.5
1.3892443989449936,12.0,398,,72,970.0,381.5,18.0
3.783186487605389,0.0,414,,73,665.0,497.0,21.0
5.55090082779363,1.0,415,,73,693.5,412.0,26.5
,2.0,420,,73,780.0,337.0,26.5
,3.0,421,,73,806.0,466.0,28.5
10.335013304297194,4.0,416,,73,838.5,392.0,23.0
1.25,5.0,408,,73,854.5,544.0,20.5
0.9013878188659973,6.0,413,,73,876.0,467.5,15.0
,7.0,422,,73,878.0,342.5,26.0
7.386643351347079,8.0,417,,73,885.5,528.0,13.0
,9.0,423,,73,895.5,469.0,14.0
1.5206906325745548,10.0,418,,73,923.0,505.0,27.0
1.0307764064044151,11.0,419,,73,926.0,572.5,23.0
4.25,12.0,409,,73,937.0,433.0,14.5
,13.0,424,,73,963.5,382.5,13.5
,0.0,425,,74,639.5,441.5,15.0
2.57390753524675,1.0,420,,74,791.5,333.5,26.0
1.9039432764659772,2.0,421,,74,821.5,462.0,24.5
8.492643875731515,3.0,416,,74,846.5,393.5,26.5
,4.0,426,,74,889.0,318.0,25.5
,5.0,427,,74,891.5,358.0,28.0
1.0606601717798212,6.0,417,,74,898.5,522.5,14.5
1.7677669529663689,7.0,418,,74,938.0,499.0,26.5
3.181980515339464,8.0,419,,74,942.0,565.5,23.0
,9.0,428,,74,967.0,489.0,17.5
7.591113225344488,10.0,424,,74,970.0,375.5,19.0
1.8726837545203594,0.0,425,,75,651.0,445.0,15.0
0.30046260628867627,1.0,420,,75,804.5,336.5,25.5
0.41666666666665153,2.0,421,,75,834.5,464.5,24.0
,3.0,429,,75,849.5,538.5,23.0
2.3993633414813216,4.0,416,,75,857.5,395.5,27.0
,5.0,430,,75,897.5,485.5,18.5
2.9023457945446545,6.0,426,,75,900.0,319.0,26.5
0.7682953714410657,7.0,417,,75,912.5,525.5,16.5
1.1211353372561284,8.0,418,,75,952.0,501.0,26.0
0.7682953714410657,9.0,419,,75,956.0,568.5,23.5
2.534484387624267,10.0,424,,75,981.0,379.5,19.0
0.5303300858899106,0.0,421,,76,837.5,473.0,23.0
3.972562145517676,1.0,429,,76,856.5,549.0,21.5
1.1319231422671772,2.0,417,,76,916.0,535.5,13.0
0.5303300858899106,3.0,418,,76,955.0,509.5,26.0
0.7288689868556626,4.0,424,,76,985.0,388.0,19.0
,0.0,430,,77,746.0,505.0,22.5
,1.0,431,,77,754.0,325.5,28.5
2.378287198805056,2.0,421,,77,848.0,472.0,23.0
0.8838834764831844,3.0,429,,77,864.5,549.0,21.5
,4.0,432,,77,911.5,469.5,15.0
,5.0,433,,77,939.0,474.5,12.0
2.766992952647332,6.0,418,,77,960.5,509.5,27.5
1.6677080080157918,7.0,424,,77,993.5,385.5,18.0
0.3535533905932738,0.0,431,,78,762.0,329.5,26.0
6.791538853603062,1.0,421,,78,856.5,483.0,21.0
0.3535533905932738,2.0,429,,78,872.0,553.5,21.5
4.596194077712559,3.0,432,,78,915.0,475.5,13.5
,4.0,434,,78,949.0,456.0,27.0
14.802871343087462,5.0,418,,78,983.0,512.5,28.5
,0.0,435,,79,168.5,22.5,28.5
2.25,1.0,431,,79,768.0,332.0,25.5
,2.0,436,,79,813.0,546.5,26.5
,3.0,437,,79,822.0,467.0,27.0
,4.0,438,,79,867.5,361.0,14.0
4.697073557013984,5.0,429,,79,880.0,558.0,22.5
,6.0,439,,79,918.0,411.0,12.0
2.25,7.0,432,,79,921.0,473.5,13.0
,8.0,440,,79,942.5,579.0,25.0
,9.0,441,,79,950.5,348.5,21.5
,10.0,442,,79,952.5,502.5,27.5
7.267220926874317,11.0,434,,79,954.5,449.0,27.0
,0.0,443,,80,95.0,120.5,27.5
3.758324094593227,1.0,436,,80,828.0,539.0,27.0
7.254309064273454,2.0,437,,80,844.0,463.5,27.0
5.062114182829147,3.0,438,,80,877.5,359.0,15.0
,4.0,444,,80,886.5,578.0,25.0
